;L, μμ;vt18u,naco3+tib2,200,2000.csv;Result;fail;Predict
0;13,333333333333334;335,784;396,56081078684707;3693,8207294202116;363,19305988332394
1;16,666666666666668;339,432;396,5724306729961;3265,028817495474;363,2132308109438
2;20,0;332,856;396,5840505591452;4061,2644280689706;363,23340173856366
3;23,33333333333333;345,936;396,59567044529433;2566,40220962583;363,2535726661835
4;26,666666666666668;344,616;396,60729033144344;2703,0942703284454;363,2737435938034
5;30,0;342,624;396,61891021759254;2915,450329405877;363,29391452142323
6;33,333333333333336;344,856;396,63053010374165;2680,6019674632507;363,3140854490431
7;36,66666666666666;361,416;396,64214998989075;1240,8816431102805;363,33425637666295
8;40,0;349,392;396,65376987603986;2233,674891815749;363,3544273042828
9;43,333333333333336;357,912;396,66538976218897;1501,8252180601341;363,37459823190267
10;46,66666666666666;354,84;396,67700964833807;1750,335376315135;363,3947691595225
11;50,0;347,232;396,6886295344871;2445,958204911501;363,4149400871424
12;53,333333333333336;341,568;396,7002494206362;3039,564926179245;363,43511101476224
13;56,66666666666666;354,936;396,71186930678533;1745,2232563376106;363,4552819423821
14;60,0;348,336;396,72348919293444;2341,3491103963456;363,47545287000196
15;63,333333333333336;354,192;396,73510907908354;1809,9161301148;363,4956237976218
16;66,66666666666667;345,12;396,74672896523265;2665,3191436495913;363,5157947252417
17;70,0;335,184;396,75834885138175;3791,4004364716543;363,53596565286153
18;73,33333333333333;335,472;396,76996873753086;3757,4409713473133;363,5561365804814
19;76,66666666666667;342,912;396,78158862367997;2901,9325784845123;363,57630750810125
20;80,0;344,712;396,793208509829;2712,452279844287;363,59647843572105
21;83,33333333333333;355,392;396,8048283959781;1715,022355754732;363,6166493633409
22;86,66666666666667;353,52000000000004;396,8164482821272;1874,5824338469142;363,63682029096077
23;90,0;342,528;396,82806816827633;2948,497403079454;363,65699121858063
24;93,33333333333331;354,144;396,83968805442544;1822,9217784408065;363,6771621462005
25;96,66666666666669;355,104;396,85130794057454;1742,8377202851595;363,69733307382035
26;100,0;357,552;396,86292782672365;1545,3490465978741;363,7175040014402
27;103,33333333333331;361,104;396,87454771287275;1279,5320836789074;363,73767492906006
28;106,66666666666669;358,896;396,88616759902186;1443,2528342017692;363,7578458566799
29;110,0;347,64;396,89778748517097;2426,3296279342667;363,7780167842998
30;113,33333333333331;353,66400000000004;396,90940737132;1870,1652587114156;363,79818771191964
31;116,66666666666669;363,672;396,9210272574691;1105,4978135679228;363,8183586395395
32;120,0;363,408;396,9326471436182;1123,9019661041086;363,83852956715936
33;123,33333333333331;362,856;396,94426702976733;1162,0099490927228;363,8587004947792
34;126,66666666666669;358,848;396,95588691591644;1452,2110451962742;363,8788714223991
35;130,0;357,888;396,96750680206554;1527,207851892689;363,89904235001893
36;133,33333333333334;359,52000000000004;396,97912668821465;1403,186172243712;363,9192132776388
37;136,66666666666666;368,184;396,99074657436375;829,8286481996164;363,93938420525865
38;140,0;370,152;397,00236646051286;720,9421790638346;363,9595551328785
39;143,33333333333334;369,888;397,0139863466619;735,8191352792895;363,97972606049836
40;146,66666666666666;368,73599999999993;397,025606232811;800,3018208075036;363,9998969881182
41;150,0;357,624;397,0372261189601;1553,4023931042784;364,0200679157381
42;153,33333333333334;362,184;397,0488460051092;1215,5574869599789;364,04023884335794
43;156,66666666666666;360,192;397,06046589125833;1359,2837771748784;364,0604097709778
44;160,0;362,376;397,07208577740744;1203,8183682732163;364,08058069859766
45;163,33333333333334;359,37600000000003;397,08370566355654;1421,8710664094117;364,1007516262175
46;166,66666666666666;364,752;397,09532554970565;1046,0907076142416;364,1209225538374
47;170,0;368,904;397,10694543585475;795,4061312578008;364,14109348145723
48;173,33333333333334;373,056;397,1185653220038;579,0070498757008;364,1612644090771
49;176,66666666666666;370,008;397,1301852081529;735,6129304653495;364,18143533669695
50;180,0;366,336;397,141805094302;948,9976275081232;364,2016062643168
51;183,3333333333333;356,30400000000003;397,1534249804511;1668,6755212335015;364,22177719193667
52;186,66666666666663;358,848;397,1650448666002;1468,1959273090538;364,2419481195565
53;190,0;361,392;397,17666475274933;1280,5422314666607;364,2621190471764
54;193,3333333333333;371,976;397,18828463889844;635,6592967128341;364,28228997479624
55;196,66666666666663;374,568;397,19990452504754;512,2031024308682;364,3024609024161
56;200,0;372,072;397,21152441119665;631,9956876211521;364,32263183003596
57;203,3333333333333;364,152;397,22314429734575;1093,7005851358656;364,3428027576558
58;206,66666666666663;373,848;397,2347641834948;546,9407389743948;364,3629736852757
59;210,0;366,432;397,2463840696439;949,5262655915233;364,38314461289553
60;213,3333333333333;376,584;397,258003955793;427,4144395641451;364,4033155405154
61;216,66666666666663;362,256;397,2696238419421;1225,9538545450198;364,42348646813525
62;220,0;332,568;397,2812437280912;4187,803913811341;364,4436573957551
63;223,3333333333333;293,112;397,29286361424033;10853,65234340894;364,46382832337497
64;230,0;320,064;397,31610338653854;5967,887477644436;364,5041701786147
65;233,3333333333333;321,16799999999995;397,32772327268765;5800,303448972369;364,5243411062345
66;236,66666666666663;347,904;397,3393431588367;2443,8531532319425;364,54451203385435
67;240,0;383,448;397,3509630449858;193,2923814302415;364,5646829614742
68;243,3333333333333;431,448;397,3625829311349;1161,8156567584783;364,58485388909406
69;246,66666666666663;430,824;397,374202817284;1118,888931564835;364,6050248167139
70;250,0;443,064;397,3858227034331;2086,4958811366;364,6251957443338
71;253,3333333333333;448,2;397,3974425895822;2580,8998394387927;364,64536667195364
72;256,6666666666667;448,128;397,40906247573133;2572,410623590667;364,6655375995735
73;260,0;443,472;397,42068236188044;2120,72385620698;364,68570852719336
74;263,3333333333333;440,136;397,43230224802954;1823,6058016916486;364,7058794548132
75;266,6666666666667;435,0;397,44392213417865;1410,4589846636363;364,7260503824331
76;270,0;434,64;397,4555420203277;1382,683915242014;364,74622131005293
77;273,3333333333333;428,472;397,4671619064768;961,2999852055858;364,7663922376728
78;276,6666666666667;422,472;397,4787817926259;624,6609563614147;364,78656316529265
79;280,0;423,696;397,490401678775;686,7333833733911;364,8067340929125
80;283,3333333333333;430,32;397,5020215649241;1077,019708565105;364,82690502053237
81;286,6666666666667;445,68;397,5136414510732;2319,998095863772;364,8470759481522
82;290,0;458,856;397,52526133722233;3761,4595049219306;364,8672468757721
83;293,3333333333333;470,448;397,53688122337144;5316,031241259635;364,88741780339194
84;296,6666666666667;466,848;397,54850110952054;4802,420546471565;364,9075887310118
85;300,0;459,336;397,5601209956696;3816,259226757672;364,92775965863166
86;303,3333333333333;457,632;397,5717408818187;3607,2347253430808;364,9479305862515
87;306,6666666666667;465,816;397,5833607679678;4655,693056568655;364,9681015138714
88;310,0;468,144;397,5949806541169;4977,1641306657875;364,98827244149123
89;313,3333333333333;476,448;397,606600540266;6215,966268769339;365,0084433691111
90;316,6666666666667;474,24;397,6182204264151;5870,89710502303;365,02861429673095
91;320,0;464,304;397,6298403125642;4445,443570025682;365,0487852243508
92;323,3333333333333;463,176;397,64146019871333;4294,775906966424;365,06895615197067
93;326,6666666666667;460,872;397,65308008486244;3996,6318352365784;365,0891270795905
94;330,0;452,328;397,66469997101154;2988,0763700592065;365,1092980072104
95;333,3333333333333;460,944;397,6763198571606;4002,799350656638;365,12946893483024
96;336,6666666666667;457,416;397,6879397433097;3567,4411820268274;365,1496398624501
97;340,0;444,696;397,6995596294588;2208,665407501837;365,16981079006996
98;343,3333333333333;447,624;397,7111795156079;2491,289648707153;365,1899817176898
99;346,6666666666667;448,968;397,722799401757;2626,070584354165;365,2101526453097
100;350,0;447,84;397,7344192879061;2510,5692184961517;365,23032357292954
101;353,3333333333333;458,4;397,7460391740552;3678,9029638752404;365,2504945005494
102;356,6666666666667;467,28;397,75765906020433;4833,355889749185;365,27066542816925
103;360,0;463,488;397,76927894635344;4318,950296927008;365,2908363557891
104;363,3333333333333;473,256;397,7808988325025;5696,49089624398;365,31100728340897
